30.04.2017 2124:10:28-722:
alpha,1,2,3,4,5,6,7
397,305,433,433,433,433,433,433
398,305,506,506,506,506,506,506
399,305,506,506,506,506,506,506
400,305,506,506,506,506,506,506
401,305,506,506,506,506,506,506
402,305,506,506,506,506,506,506
403,305,506,506,506,506,506,506
404,305,506,506,506,506,506,506
405,305,506,506,506,506,506,506
406,305,506,506,506,506,506,506
407,305,506,506,506,506,506,506
408,305,506,506,506,506,506,506
409,305,506,506,506,506,506,506
410,305,506,506,506,506,506,506
411,305,506,506,506,506,506,506
412,305,506,506,506,506,506,506
413,305,506,506,506,506,506,506
414,305,506,506,506,506,506,506
415,305,506,506,506,506,506,506
416,305,506,506,506,506,506,506
417,305,506,506,506,506,506,506
418,305,506,506,506,506,506,506
419,305,506,506,506,506,506,506
420,305,506,506,506,506,506,506
421,305,506,506,506,506,506,506
422,305,506,506,506,506,506,506
423,305,506,506,506,506,506,506
424,305,506,506,506,506,506,506
425,305,506,506,506,506,506,506
426,305,506,506,506,506,506,506
427,305,506,506,506,506,506,506
428,305,506,506,506,506,506,506
429,305,506,506,506,506,506,506
430,305,506,506,506,506,506,506
431,305,506,506,506,506,506,506
432,305,506,506,506,506,506,506
433,305,506,506,506,506,506,506
434,305,506,506,506,506,506,506
435,305,506,506,506,506,506,506
436,305,506,506,506,506,506,506
437,305,506,506,506,506,506,506
438,305,506,506,506,506,506,506
439,305,506,506,506,506,506,506
440,305,506,506,506,506,506,506
441,305,506,506,506,506,506,506
442,305,506,506,506,506,506,506
443,305,506,506,506,506,506,506
444,305,506,506,506,506,506,506
445,305,506,506,506,506,506,506
446,305,506,506,506,506,506,506
447,305,506,506,506,506,506,506
448,305,506,506,506,506,506,506
449,305,506,506,506,506,506,506
450,305,506,506,506,506,506,506
451,305,506,506,506,506,506,506
452,305,506,506,506,506,506,506
453,305,506,506,506,506,506,506
454,305,506,506,506,506,506,506
455,305,506,506,506,506,506,506
456,305,506,506,506,506,506,506
457,305,506,506,506,506,506,506
458,305,506,506,506,506,506,506
459,305,506,506,506,506,506,506
460,305,506,506,506,506,506,506
461,305,506,506,506,506,506,506
462,305,506,506,506,506,506,506
463,305,506,506,506,506,506,506
464,305,506,556,556,556,556,556
465,305,506,556,556,556,556,556
466,305,506,556,556,556,556,556
467,305,506,556,556,556,556,556
